准确性权重,连续等待权重,不稳定权重,胜出方案,最小综合风险
0.02,0.27,0.71,16/18,0.10948070025926523
0.02,0.28,0.7,16/18,0.11130178105113255
0.02,0.29,0.69,16/18,0.11312286184299983
0.02,0.3,0.6799999999999999,16/18,0.11494394263486715
0.02,0.31,0.6699999999999999,16/18,0.11676502342673445
0.02,0.32,0.6599999999999999,16/18,0.11858610421860177
0.02,0.33,0.6499999999999999,16/18,0.12040718501046907
0.02,0.34,0.6399999999999999,16/18,0.12222826580233638
0.02,0.35000000000000003,0.6299999999999999,16/18,0.12404934659420369
0.02,0.36,0.62,16/18,0.12587042738607102
0.02,0.37,0.61,16/18,0.1276915081779383
0.02,0.38,0.6,16/18,0.1295125889698056
0.02,0.39,0.59,16/18,0.13133366976167293
0.02,0.4,0.58,16/18,0.13315475055354026
0.02,0.41000000000000003,0.57,16/18,0.13497583134540753
0.02,0.42,0.56,16/18,0.13679691213727485
0.02,0.43,0.55,16/18,0.13861799292914218
0.02,0.44,0.54,16/18,0.14043907372100947
0.02,0.45,0.53,16/18,0.14226015451287677
0.02,0.46,0.52,16/18,0.1440812353047441
0.02,0.47000000000000003,0.51,16/18,0.1459023160966114
0.02,0.48,0.5,16/18,0.1477233968884787
0.02,0.49,0.49,16/18,0.149544477680346
0.02,0.5,0.48,16/18,0.1513655584722133
0.02,0.51,0.47,16/18,0.15318663926408063
0.02,0.52,0.45999999999999996,16/18,0.1550077200559479
0.02,0.53,0.44999999999999996,16/18,0.15682880084781523
0.02,0.54,0.43999999999999995,16/18,0.15864988163968255
0.02,0.55,0.42999999999999994,16/18,0.16047096243154985
0.02,0.56,0.41999999999999993,16/18,0.16229204322341717
0.02,0.5700000000000001,0.4099999999999999,16/18,0.16411312401528447
0.02,0.58,0.4,16/18,0.16593420480715174
0.02,0.59,0.39,16/18,0.16775528559901906
0.02,0.6,0.38,16/18,0.16957636639088636
0.02,0.61,0.37,16/18,0.17139744718275368
0.02,0.62,0.36,16/18,0.173218527974621
0.02,0.63,0.35,16/18,0.1750396087664883
0.02,0.64,0.33999999999999997,16/18,0.17686068955835563
0.02,0.65,0.32999999999999996,15/18,0.17787913311112313
0.02,0.66,0.31999999999999995,15/18,0.17802504001320982
0.02,0.67,0.30999999999999994,15/18,0.17817094691529647
0.02,0.68,0.29999999999999993,15/18,0.17831685381738316
0.02,0.6900000000000001,0.2899999999999999,15/18,0.17846276071946984
0.02,0.7000000000000001,0.2799999999999999,15/18,0.17860866762155653
0.02,0.71,0.27,15/18,0.17875457452364318
0.02,0.72,0.26,15/18,0.17890048142572984
0.02,0.73,0.25,15/18,0.17904638832781655
0.02,0.74,0.24,15/18,0.1791922952299032
0.02,0.75,0.22999999999999998,15/18,0.1793382021319899
0.02,0.76,0.21999999999999997,15/18,0.17948410903407658
0.02,0.77,0.20999999999999996,15/18,0.17963001593616323
0.02,0.78,0.19999999999999996,15/18,0.17977592283824995
0.02,0.79,0.18999999999999995,15/18,0.1799218297403366
0.02,0.8,0.17999999999999994,15/18,0.1800677366424233
0.02,0.81,0.16999999999999993,15/18,0.18021364354450994
0.02,0.8200000000000001,0.15999999999999992,15/18,0.18035955044659663
0.02,0.8300000000000001,0.1499999999999999,15/18,0.1805054573486833
0.02,0.84,0.14,15/18,0.18065136425077
0.02,0.85,0.13,15/18,0.18079727115285668
0.02,0.86,0.12,15/18,0.18094317805494334
0.02,0.87,0.10999999999999999,15/18,0.18108908495703002
0.02,0.88,0.09999999999999998,15/18,0.18123499185911668
0.02,0.89,0.08999999999999997,15/18,0.1813808987612034
0.02,0.9,0.07999999999999996,15/18,0.18152680566329005
0.02,0.91,0.06999999999999995,15/18,0.18167271256537673
0.02,0.92,0.05999999999999994,15/18,0.1818186194674634
0.02,0.93,0.04999999999999993,15/18,0.18196452636955007
0.02,0.9400000000000001,0.039999999999999925,15/18,0.18211043327163678
0.02,0.9500000000000001,0.029999999999999916,15/18,0.18225634017372344
0.02,0.96,0.020000000000000018,15/18,0.18240224707581013
0.02,0.97,0.010000000000000009,15/18,0.18254815397789678
0.02,0.98,0.0,15/18,0.18269406087998347
0.03,0.0,0.97,18/22,0.001336127131303857
0.03,0.01,0.96,18/22,0.00546400300075276
0.03,0.02,0.95,18/22,0.009591878870201662
0.03,0.03,0.94,18/22,0.013719754739650567
0.03,0.04,0.9299999999999999,18/22,0.01784763060909947
0.03,0.05,0.9199999999999999,18/22,0.021975506478548373
0.03,0.06,0.9099999999999999,18/22,0.026103382347997275
0.03,0.07,0.8999999999999999,18/22,0.03023125821744618
0.03,0.08,0.89,18/22,0.03435913408689508
0.03,0.09,0.88,18/22,0.038487009956343986
0.03,0.1,0.87,18/22,0.04261488582579289
0.03,0.11,0.86,18/22,0.04674276169524179
0.03,0.12,0.85,18/22,0.05087063756469069
0.03,0.13,0.84,18/22,0.0549985134341396
0.03,0.14,0.83,18/22,0.0591263893035885
0.03,0.15,0.82,18/22,0.06325426517303741
0.03,0.16,0.8099999999999999,18/22,0.06738214104248631
0.03,0.17,0.7999999999999999,18/22,0.07151001691193522
0.03,0.18,0.79,18/22,0.07563789278138412
0.03,0.19,0.78,18/22,0.07976576865083303
0.03,0.2,0.77,18/22,0.08389364452028193
0.03,0.21,0.76,18/22,0.08802152038973082
0.03,0.22,0.75,18/22,0.09214939625917973
0.03,0.23,0.74,18/22,0.09627727212862865
0.03,0.24,0.73,18/22,0.10040514799807754
0.03,0.25,0.72,18/22,0.10453302386752644
0.03,0.26,0.71,16/18,0.10781537890682187
0.03,0.27,0.7,16/18,0.10963645969868918
0.03,0.28,0.69,16/18,0.11145754049055649
0.03,0.29,0.6799999999999999,16/18,0.11327862128242377
0.03,0.3,0.6699999999999999,16/18,0.1150997020742911
0.03,0.31,0.6599999999999999,16/18,0.11692078286615841
0.03,0.32,0.6499999999999999,16/18,0.11874186365802572
0.03,0.33,0.6399999999999999,16/18,0.12056294444989302
0.03,0.34,0.6299999999999999,16/18,0.12238402524176034
0.03,0.35000000000000003,0.6199999999999999,16/18,0.12420510603362764
0.03,0.36,0.61,16/18,0.12602618682549496
0.03,0.37,0.6,16/18,0.12784726761736226
0.03,0.38,0.59,16/18,0.12966834840922956
0.03,0.39,0.58,16/18,0.13148942920109688
0.03,0.4,0.57,16/18,0.13331050999296418
0.03,0.41000000000000003,0.5599999999999999,16/18,0.1351315907848315
0.03,0.42,0.55,16/18,0.1369526715766988
0.03,0.43,0.54,16/18,0.1387737523685661
0.03,0.44,0.53,16/18,0.14059483316043342
0.03,0.45,0.52,16/18,0.14241591395230072
0.03,0.46,0.51,16/18,0.14423699474416804
0.03,0.47000000000000003,0.49999999999999994,16/18,0.14605807553603534
0.03,0.48,0.49,16/18,0.14787915632790266
0.03,0.49,0.48,16/18,0.14970023711976996
0.03,0.5,0.47,16/18,0.15152131791163725
0.03,0.51,0.45999999999999996,16/18,0.15334239870350455
