重复,胜出方案,两组平均孕周,三组平均孕周,三组减两组_平均孕周,两组最低审计达标概率,三组最低审计达标概率,三组减两组_最低审计概率
77,参数AFT两组,15.054574638844283,15.055644729802017,0.0010700909577341378,0.8946506786181083,0.8966533869207293,0.002002708302620948
78,树AFT三组,15.200642054574619,15.152487961476707,-0.048154093097911854,0.8882642272008077,0.9004165870235645,0.012152359822756864
79,参数AFT两组,15.16211878009629,15.118245050829307,-0.04387372926698241,0.891748240290629,0.8986597064821321,0.006911466191503068
80,参数AFT两组,15.068485821294793,15.098983413590139,0.030497592295345655,0.8923728349937178,0.8997653969059187,0.007392561912200946
81,参数AFT两组,15.078651685393242,15.041198501872643,-0.0374531835205989,0.8943030350727612,0.8984564693754719,0.004153434302710646
82,参数AFT两组,15.078651685393242,15.09363295880148,0.014981273408238849,0.8905466425296824,0.8966287315274895,0.006082088997807045
83,参数AFT两组,15.303370786516833,15.337078651685374,0.03370786516854096,0.8936934937003109,0.9007154474845939,0.007021953784282942
84,树AFT三组,15.112894596040645,15.131621187800945,0.018726591760300337,0.8802730131156726,0.8966962494642026,0.016423236348529935
85,树AFT三组,15.181380417335454,15.155163188871038,-0.02621722846441621,0.8852156498337207,0.8946790784658285,0.009463428632107806
86,参数AFT两组,15.003745318352042,15.00642054574637,0.002675227394327351,0.8937944044917739,0.8973301766862284,0.003535772194454445
87,参数AFT两组,15.00642054574637,14.941680042803624,-0.06474050294274569,0.8907921821915061,0.8960547091763721,0.005262526984865956
88,参数AFT两组,14.9887640449438,15.011235955056163,0.022471910112363602,0.8917524190304711,0.8992941860985874,0.007541767068116267
89,参数AFT两组,15.264847512038505,15.235955056179758,-0.028892455858747113,0.8953630187344033,0.8996505454928788,0.004287526758475546
90,参数AFT两组,15.006420545746371,15.064740502942735,0.05831995719636396,0.8931063007524871,0.8999942756309487,0.0068879748784616
91,参数AFT两组,15.20064205457462,15.169609416800412,-0.031032637774208283,0.89271800896087,0.8987707575446069,0.006052748583736944
92,参数AFT两组,15.250936329587997,15.280363830925609,0.029427501337611517,0.8912304711692616,0.8998914060058577,0.008660934836596135
93,参数AFT两组,15.163723916532884,15.175494917067933,0.01177100053504887,0.8903941325527617,0.8962125080398589,0.005818375487097183
94,参数AFT两组,14.910112359550546,14.913857677902605,0.003745318352059712,0.8911184545224459,0.8948025215386378,0.0036840670161919498
95,参数AFT两组,15.173354735152467,15.208132691278742,0.0347779561262751,0.8900992508731175,0.8951298771396367,0.005030626266519178
96,参数AFT两组,15.222578919208114,15.21669341894059,-0.005885500267524435,0.8924865410662054,0.897541060803472,0.005054519737266561
97,树AFT三组,15.252006420545728,15.22471910112358,-0.02728731942214857,0.8896708905917717,0.8999255007555765,0.0102546101638048
98,参数AFT两组,15.303370786516833,15.250401284109131,-0.05296950240770215,0.8921212318296278,0.898088438243579,0.005967206413951209
99,参数AFT两组,15.088282504012824,15.036918138041717,-0.05136436597110716,0.8937244919338622,0.9000678500655678,0.006343358131705612
100,参数AFT两组,15.309791332263224,15.272873194221491,-0.03691813804173272,0.8933213336308079,0.8944539061876604,0.001132572556852507
101,参数AFT两组,15.253076511503457,15.225254146602442,-0.02782236490101475,0.8919653223788556,0.9006800735656443,0.00871475118678866
102,树AFT三组,15.187800963081843,15.0823970037453,-0.10540395933654345,0.8870302879828431,0.8970569545166378,0.010026666533794693
103,参数AFT两组,15.280898876404473,15.199036918138022,-0.08186195826645104,0.8922820560873679,0.8988614079629937,0.006579351875625861
104,参数AFT两组,14.990369181380402,15.029427501337597,0.039058319957195664,0.8939782006321643,0.8998677595993998,0.005889558967235531
105,树AFT三组,15.03156768325306,15.049759229534493,0.01819154628143238,0.8896779855165425,0.8989620031288302,0.009284017612287698
106,参数AFT两组,15.1744248261102,15.117710005350437,-0.05671482075976364,0.8948586733703776,0.8978098451120532,0.0029511717416755845
107,参数AFT两组,15.110754414125184,15.07972177635097,-0.03103263777421361,0.8942585726033744,0.8998384024473061,0.005579829843931683
108,树AFT三组,15.197431781701425,15.128945960406618,-0.06848582129480718,0.8808520766432408,0.8951624860314884,0.01431040938824757
109,参数AFT两组,15.397003745318331,15.329052969502388,-0.06795077581594278,0.8926050224121654,0.8979273217478947,0.0053222993357292525
110,树AFT三组,15.307116104868893,15.261637239165312,-0.04547886570358095,0.8891662825813004,0.8970242975709726,0.007858014989672202
111,参数AFT两组,15.006420545746371,15.048154093097896,0.04173354735152479,0.8918651431633127,0.9003083331888437,0.008443190025531067
112,参数AFT两组,15.008025682182968,14.971642589620101,-0.03638309256286654,0.8942414017669179,0.8973523041444753,0.0031109023775574007
113,树AFT三组,14.985018726591743,15.052969502407686,0.06795077581594278,0.886524509947668,0.8999366131011555,0.013412103153487509
114,参数AFT两组,15.266452648475102,15.242375601926145,-0.024077046548956815,0.8974812993103392,0.8994650979325685,0.0019837986222293047
115,树AFT三组,15.473515248796124,15.409309791332245,-0.06420545746387951,0.8864691444851671,0.8973292939161388,0.010860149430971688
116,树AFT三组,15.179775280898859,15.151952915997843,-0.027822364901016527,0.8898341981361474,0.8946776586667543,0.004843460530606913
117,树AFT三组,15.08346709470303,15.13376136971641,0.05029427501338013,0.8875925681302884,0.8956213601266643,0.00802879199637585
118,参数AFT两组,15.106474050294254,15.092027822364884,-0.014446227929370892,0.897267309038379,0.900339254128489,0.0030719450901099954
119,参数AFT两组,15.354735152487944,15.295345104333853,-0.05939004815409099,0.8913338522855657,0.8965449601514581,0.005211107865892406
