重复,胜出组数,胜出切点,胜出推荐孕周,胜出平均孕周,胜出最低审计概率,存在安全方案,1组平均孕周,1组安全,2组平均孕周,2组安全,3组平均孕周,3组安全,4组平均孕周,4组安全
374,2,34.459301,14.285714|17.428571,14.980203317281951,0.8977788943477892,True,15.142857142857125,False,14.980203317281951,True,14.952915997859801,True,14.952915997859801,True
375,2,35.647570,14.285714|18.714286,14.79989299090421,0.8923876046187412,True,14.85714285714284,False,14.79989299090421,True,14.797217763509883,True,14.799357945425344,True
376,2,34.474670,14.571429|18.571429,15.320492241840537,0.895119601520039,True,15.42857142857141,False,15.320492241840537,True,15.281433921883343,True,15.268592830390565,True
377,2,34.192081,14.428571|18.000000,15.25789192081325,0.8943378482512523,True,15.42857142857141,False,15.25789192081325,True,15.246120920278203,True,15.242375601926145,True
378,2,34.618262,14.571429|18.285714,15.044408774745836,0.8917814796717902,True,15.142857142857125,False,15.044408774745836,True,15.024612092027805,True,15.023542001070071,True
379,2,34.721552,14.428571|17.428571,15.024077046548939,0.8924354272401853,True,15.142857142857125,False,15.024077046548939,True,15.013376136971624,True,15.016051364365953,True
380,2,34.646074,14.285714|18.571429,15.136436597110734,0.8924450020124384,True,15.285714285714267,False,15.136436597110734,True,15.113429641519511,True,15.109149277688584,True
381,2,34.848567,14.714286|17.714286,15.174959871589067,0.8914640327512309,True,15.285714285714267,False,15.174959871589067,True,15.14606741573032,True,15.13964686998393,True
382,2,34.004559,14.285714|18.000000,15.134296415195275,0.8939330925106517,True,15.285714285714267,False,15.134296415195275,True,15.123060460139094,True,15.123060460139094,True
383,2,33.702905,14.285714|17.714286,15.235955056179757,0.8902419580446874,True,15.285714285714267,False,15.235955056179757,True,15.18940609951844,True,15.176565008025664,True
384,2,34.440085,14.428571|17.571429,14.970037453183503,0.8910502272807822,True,14.999999999999982,False,14.970037453183503,True,14.947030497592278,True,14.947030497592278,True
385,2,35.676651,14.428571|19.000000,14.976457998929892,0.8929010170886301,True,14.999999999999982,False,14.976457998929892,True,14.941144997324757,True,14.937399678972696,True
386,2,34.355207,14.428571|18.142857,15.179775280898859,0.8904576038046552,True,15.285714285714267,False,15.179775280898859,True,15.14981273408238,True,15.144997324772588,True
387,2,34.720320,14.428571|18.142857,15.165864098448349,0.8937584726168741,True,15.285714285714267,False,15.165864098448349,True,15.155698234349902,True,15.151952915997843,True
388,2,33.120784,14.285714|16.857143,15.229534510433368,0.8940230396202568,True,15.285714285714267,False,15.229534510433368,True,15.178170144462262,True,15.173354735152468,True
389,2,34.505326,14.571429|17.714286,15.136436597110736,0.891168046421551,True,15.142857142857125,False,15.136436597110736,True,15.078651685393242,True,15.07597645799891,True
390,2,33.232935,14.571429|16.857143,15.359015516318868,0.8948409050053885,True,15.42857142857141,False,15.359015516318868,True,15.305510968432298,True,15.30283574103797,True
391,2,34.646074,14.571429|18.142857,15.146602461209184,0.8900675504326642,True,15.285714285714267,False,15.146602461209184,True,15.115034777956108,True,15.115569823434972,True
392,2,34.920501,14.428571|18.285714,14.948635634028875,0.893931486856678,True,15.142857142857125,False,14.948635634028875,True,14.938469769930427,True,14.933654360620636,True
393,2,33.962568,14.571429|18.000000,15.585874799357926,0.8964746388091704,True,15.714285714285692,False,15.585874799357926,True,15.554842161583712,True,15.543606206527533,True
394,2,33.210559,14.285714|17.142857,15.131086142322081,0.8916910069914228,True,15.285714285714267,False,15.131086142322081,True,15.124130551096826,True,15.115569823434972,True
395,2,34.793486,14.428571|18.428571,15.027822364900999,0.8934077766514199,True,15.142857142857125,False,15.027822364900999,True,15.01016586409843,True,15.00802568218297,True
396,2,32.656938,14.142857|16.428571,15.033172819689655,0.8918378194315616,True,15.142857142857125,False,15.033172819689655,True,14.990369181380402,True,14.981808453718548,True
397,2,33.148678,14.285714|17.000000,15.19047619047617,0.8918144430693867,True,15.285714285714267,False,15.19047619047617,True,15.157303370786497,True,15.148207597645783,True
398,2,34.920501,14.571429|18.000000,15.174959871589067,0.8942240173188617,True,15.285714285714267,False,15.174959871589067,True,15.14981273408238,True,15.144997324772588,True
399,2,35.720654,14.428571|18.714286,14.958266452648457,0.8917474587657437,True,15.142857142857125,False,14.958266452648457,True,14.970037453183503,True,14.969502407704637,True
400,2,33.772521,14.285714|17.714286,15.184590690208651,0.894572309520421,True,15.285714285714267,False,15.184590690208651,True,15.163723916532886,True,15.152487961476707,True
401,2,34.226484,14.428571|17.428571,15.012841091492758,0.891123783568066,True,15.142857142857125,False,15.012841091492758,True,15.017121455323688,True,15.014981273408221,True
402,2,34.440085,14.428571|17.857143,15.044943820224702,0.8928279530440526,True,15.142857142857125,False,15.044943820224702,True,15.018726591760283,True,15.017121455323686,True
403,2,35.467684,14.428571|18.571429,14.894060995184573,0.8910205925044786,True,14.999999999999982,False,14.894060995184573,True,14.885500267522723,True,14.88336008560726,True
404,2,35.344351,14.714286|18.857143,15.226324237560174,0.890714736564407,True,15.285714285714267,False,15.226324237560174,True,15.181380417335458,True,15.166399143927215,True
405,2,32.952410,14.142857|16.857143,15.04761904761903,0.893108971783623,True,15.142857142857125,False,15.04761904761903,True,15.00642054574637,True,15.00642054574637,True
406,2,34.206744,14.428571|17.428571,15.06902086677366,0.8908834282599494,True,15.142857142857125,False,15.06902086677366,True,15.060460139111807,True,15.062600321027269,True
407,2,35.170717,14.428571|18.571429,15.033707865168521,0.8942001730386749,True,15.142857142857125,False,15.033707865168521,True,15.021936864633474,True,15.01284109149276,True
408,2,32.922017,14.142857|16.571429,15.02514713750667,0.8910088153551814,True,15.142857142857125,False,15.02514713750667,True,14.971107544141235,True,14.97057249866237,True
409,2,33.772521,14.285714|18.000000,15.24558587479934,0.8905677401724768,True,15.42857142857141,False,15.24558587479934,True,15.229534510433368,True,15.232744783306563,True
410,2,34.440085,14.285714|18.285714,15.004815409309774,0.8958101599796578,True,15.142857142857125,False,15.004815409309774,True,14.971107544141233,True,14.971107544141233,True
411,2,34.357014,14.285714|18.142857,15.036918138041717,0.893003355228764,True,15.142857142857125,False,15.036918138041717,True,15.024612092027805,True,15.026217228464402,True
412,2,33.942385,14.428571|17.285714,15.231139646869966,0.8938088047114432,True,15.285714285714267,False,15.231139646869966,True,15.185660781166382,True,15.170144462279275,True
413,2,33.271360,14.428571|17.000000,15.2664526484751,0.8915947654054055,True,15.285714285714267,False,15.2664526484751,True,15.181915462814322,True,15.178705189941127,True
414,2,33.249658,14.428571|16.428571,15.08774745853396,0.8934314694609348,True,15.142857142857125,False,15.08774745853396,True,15.053504547886552,True,15.0449438202247,True
415,2,35.986499,14.428571|19.142857,15.099518459069003,0.8925445545850795,True,15.285714285714267,False,15.099518459069003,True,15.060995184590674,True,15.060995184590672,True
416,2,34.945411,14.428571|17.857143,14.813804173354718,0.8945036647355964,True,14.85714285714284,False,14.813804173354718,True,14.802568218298537,True,14.796147672552149,True
417,2,34.357014,14.428571|17.857143,15.070626003210254,0.8927140458965888,True,15.142857142857125,False,15.070626003210254,True,15.047084002140165,True,15.038523274478313,True
418,2,34.440085,14.285714|18.285714,15.034777956126254,0.8919728688900915,True,15.142857142857125,False,15.034777956126254,True,15.0090957731407,True,15.007490636704103,True
419,2,33.652450,14.285714|17.142857,15.066880684858193,0.8933171570513354,True,15.142857142857125,False,15.066880684858193,True,15.037453183520581,True,15.034242910647388,True
420,2,34.384626,14.428571|17.857143,14.993579454253593,0.893568020865703,True,15.142857142857125,False,14.993579454253593,True,14.98662386302834,True,14.985553772070608,True
421,2,34.607385,14.428571|18.000000,15.070626003210256,0.8933882590072169,True,15.142857142857125,False,15.070626003210256,True,15.043338683788104,True,15.045478865703567,True
422,2,34.147500,14.428571|17.571429,15.13483146067414,0.8913705559703987,True,15.285714285714267,False,15.13483146067414,True,15.104333868378793,True,15.103263777421063,True
423,2,33.293090,14.285714|17.285714,15.207062600321008,0.8932402736470728,True,15.285714285714267,False,15.207062600321008,True,15.126805778491153,True,15.126805778491153,True
424,2,34.440085,14.285714|18.428571,15.139111824505065,0.8950647675210645,True,15.285714285714267,False,15.139111824505065,True,15.105403959336526,True,15.105403959336526,True
425,2,34.440085,14.428571|18.285714,15.064205457463867,0.893441079344508,True,15.142857142857125,False,15.064205457463867,True,15.054574638844285,True,15.047084002140165,True
426,2,34.226484,14.428571|17.714286,14.994649545211326,0.8946688182934179,True,15.142857142857125,False,14.994649545211326,True,14.988228999464937,True,14.989834135901534,True
427,2,34.470941,14.428571|17.857143,15.083467094703032,0.8912838790157239,True,15.142857142857125,False,15.083467094703032,True,15.071696094167987,True,15.071696094167987,True
428,2,34.817975,14.428571|18.428571,14.952915997859801,0.8907511357350218,True,14.999999999999982,False,14.952915997859801,True,14.944890315676814,True,14.947030497592277,True
429,2,34.513921,14.571429|18.142857,15.18673087212411,0.8940013886082623,True,15.285714285714267,False,15.18673087212411,True,15.147672552166917,True,15.144997324772588,True
430,2,35.698449,14.714286|18.714286,15.238630283574086,0.8910813939534443,True,15.42857142857141,False,15.238630283574086,True,15.239700374531814,True,15.227929373996771,True
431,2,34.297490,14.285714|17.857143,14.994649545211326,0.8910712326847489,True,15.142857142857125,False,14.994649545211326,True,14.994649545211326,True,14.995719636169055,True
432,2,34.474670,14.571429|18.142857,15.146602461209184,0.8911609801776676,True,15.285714285714267,False,15.146602461209184,True,15.118780096308168,True,15.111824505082915,True
