outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
2,16,20,67,54,13,16.776119402985074,0.9359284213667755,0.9285046845166647,1,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.937654404226068,True,30.065446|31.721771|33.538981
3,16,20,66,47,19,17.151515151515152,0.9267328302344239,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.927015305210208,True,30.129913|31.640625|33.516868
0,16,21,67,57,10,16.746268656716417,0.9373907809377348,0.9289524205890989,3,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.9314592436463777,True,30.153098|31.686783|34.040136
1,16,21,67,57,10,16.746268656716417,0.9250211564223241,0.917892981467574,3,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9354572973639712,True,30.127285|31.724831|33.994467
2,16,21,67,54,13,16.970149253731343,0.9378059248537943,0.9285046845166647,1,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9431236535143404,True,30.065446|31.721771|33.538981
3,16,21,66,47,19,17.439393939393938,0.9306404160803533,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.9382283776376574,True,30.129913|31.640625|33.516868
0,16,22,67,57,10,16.895522388059703,0.9390553325685265,0.9289524205890989,3,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.9407529902516311,True,30.153098|31.686783|34.040136
1,16,22,67,57,10,16.895522388059703,0.926325279948636,0.917892981467574,3,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9421785493841941,True,30.127285|31.724831|33.994467
2,16,22,67,54,13,17.16417910447761,0.9394129937774937,0.9285046845166647,1,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9478051151616388,True,30.065446|31.721771|33.538981
3,16,22,66,47,19,17.727272727272727,0.9338241465176199,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.9473642997619877,True,30.129913|31.640625|33.516868
