重复,多因素减仅BMI_区间负对数评分
844,-0.0016707703459067586
845,0.01833083420119612
846,-0.010572687647038692
847,0.004284494213043549
848,0.015281220380618667
849,0.021584347578084303
850,-0.002286940367588964
851,-0.008308590603878268
852,0.04972042709760435
853,0.007093962549355712
854,0.008218273287189931
855,0.01152064085171684
856,-0.0028596923538412914
857,-0.0016358347739545665
858,-0.0034247271419022255
859,-0.0047483613100644745
860,0.0005209385282758645
861,0.014962413765477795
862,-0.00032846855926969235
863,-0.01850547966317825
864,-0.006511089661789973
865,-0.0016697647633260083
866,0.007715865176910574
867,0.015715090726290765
868,0.017686386886060414
869,0.0053480995458722695
870,-0.0054838519284611245
871,-0.015975465065567927
872,0.01799577478631808
873,-0.009697697439985019
874,-0.002700543000261209
875,0.011824768902341158
876,0.02139264967181987
877,0.0016458884143619493
878,0.011645663803626192
879,-0.002831217257570515
880,-0.008394141845662808
881,0.0007631563745434541
882,0.020845914561979567
883,-0.012739971748719024
884,0.005698411025633534
885,0.016562985997733676
886,0.018177433681898832
887,-0.011299490235140956
888,0.007973085120707692
889,0.012860014379266309
890,-0.010153558048999622
891,-0.015769180676617263
892,-0.017269394341714286
893,-0.018222884507809196
894,-0.004402264130893487
895,-0.00581296021435014
